# الفئة|الصعوبة (1-3، F = مناسب للمواجهة)|السؤال|الإجابة|خطأ1;خطأ2;خطأ3
places|1|ما عاصمة المملكة العربية السعودية؟|الرياض|جدة;مكة المكرمة;الدمام
places|1|ما عاصمة مصر؟|القاهرة|الإسكندرية;الجيزة;أسوان
places|1|ما عاصمة الإمارات العربية المتحدة؟|أبوظبي|دبي;الشارقة;عجمان
places|1|ما أطول نهر في العالم العربي؟|نهر النيل|نهر الفرات;نهر دجلة;نهر الأردن
places|1|في أي دولة تقع مدينة البتراء الأثرية؟|الأردن|سوريا;لبنان;مصر
places|2|ما عاصمة المغرب؟|الرباط|الدار البيضاء;مراكش;فاس
places|2|ما عاصمة الكويت؟|مدينة الكويت|الجهراء;الأحمدي;حولي
places|2|ما عاصمة سلطنة عُمان؟|مسقط|صلالة;صحار;نزوى
places|2F|ما أكبر دولة عربية من حيث المساحة؟|الجزائر|السعودية;السودان;ليبيا
places|2|ما عاصمة تونس؟|تونس|صفاقس;سوسة;القيروان
places|2|ما البحر الذي يفصل بين السعودية ومصر؟|البحر الأحمر|البحر المتوسط;بحر العرب;الخليج العربي
places|2|ما عاصمة لبنان؟|بيروت|طرابلس;صيدا;صور
places|2|في أي دولة يقع برج خليفة؟|الإمارات العربية المتحدة|قطر;السعودية;الكويت
places|2|ما عاصمة العراق؟|بغداد|البصرة;الموصل;أربيل
places|2F|ما أعلى جبل في العالم؟|جبل إيفرست|جبل كليمنجارو;جبل كي 2;جبل مون بلان
places|2|ما عاصمة اليابان؟|طوكيو|أوساكا;كيوتو;هيروشيما
places|2|ما عاصمة فرنسا؟|باريس|ليون;مرسيليا;نيس
places|2|ما أكبر صحراء حارة في العالم؟|الصحراء الكبرى|صحراء الربع الخالي;صحراء غوبي;صحراء كالاهاري
places|3|ما عاصمة السودان؟|الخرطوم|أم درمان;بورتسودان;كسلا
places|3F|ما عاصمة موريتانيا؟|نواكشوط|نواذيبو;الرباط;باماكو
places|3|ما المضيق الذي يفصل بين إسبانيا والمغرب؟|مضيق جبل طارق|مضيق هرمز;مضيق باب المندب;مضيق البوسفور
places|3|ما عاصمة أستراليا؟|كانبيرا|سيدني;ملبورن;بيرث
places|3|ما عاصمة تركيا؟|أنقرة|إسطنبول;إزمير;أنطاليا
places|3F|ما المضيق الذي يربط البحر الأحمر بخليج عدن؟|مضيق باب المندب|مضيق هرمز;مضيق جبل طارق;قناة السويس
places|2|ما أكبر محيط في العالم؟|المحيط الهادئ|المحيط الأطلسي;المحيط الهندي;المحيط المتجمد الشمالي
places|1|كم عدد قارات العالم؟|سبع|خمس;ست;ثمانٍ
places|2|ما عملة اليابان؟|الين|اليوان;الوون;الروبية
places|3|في أي دولة تقع مدينة فاس التاريخية؟|المغرب|الجزائر;تونس;ليبيا
places|2|ما أصغر دولة في العالم مساحة؟|الفاتيكان|موناكو;سان مارينو;البحرين
places|3|ما عاصمة كندا؟|أوتاوا|تورنتو;فانكوفر;مونتريال
