# cat|difficulty(1-3, F = also good for head-to-head)|question|answer|wrong1;wrong2;wrong3
science|1|What is the chemical symbol for gold?|Au|Ag;Go;Gd
science|1|How many legs does a spider have?|Eight|Six;Ten;Twelve
science|1|What planet is known as the Red Planet?|Mars|Venus;Jupiter;Mercury
science|1|What gas do plants absorb from the air to make food?|Carbon dioxide|Oxygen;Nitrogen;Helium
science|1|What is the largest organ of the human body?|The skin|The liver;The brain;The lungs
science|1|At sea level, water boils at how many degrees Celsius?|100|90;110;212
science|1|What is the hardest natural substance?|Diamond|Quartz;Granite;Iron
science|1|Which planet is closest to the Sun?|Mercury|Venus;Mars;Earth
science|2|What is the chemical symbol for sodium?|Na|So;Sd;S
science|2|How many bones are in the adult human body?|206|186;212;306
science|2|Which blood cells help fight infection?|White blood cells|Red blood cells;Platelets;Plasma cells
science|2|What is the largest planet in our solar system?|Jupiter|Saturn;Neptune;Uranus
science|2|What part of the cell contains most of its DNA?|The nucleus|The membrane;The ribosome;The cytoplasm
science|2|What is the freezing point of water in Fahrenheit?|32 degrees|0 degrees;10 degrees;100 degrees
science|2F|What is the most abundant gas in Earth's atmosphere?|Nitrogen|Oxygen;Carbon dioxide;Argon
science|2|Which scientist proposed the theory of general relativity?|Albert Einstein|Isaac Newton;Niels Bohr;Galileo Galilei
science|2|What is the name of the force that keeps us on the ground?|Gravity|Friction;Magnetism;Inertia
science|2|Which vitamin does the body make when skin is exposed to sunlight?|Vitamin D|Vitamin C;Vitamin A;Vitamin B12
science|2|What is H2O more commonly called?|Water|Salt;Hydrogen peroxide;Ammonia
science|2F|What is the only mammal capable of true flight?|The bat|The flying squirrel;The sugar glider;The colugo
science|2|What do bees collect from flowers to make honey?|Nectar|Pollen;Sap;Resin
science|2|Which organ pumps blood around the body?|The heart|The liver;The kidneys;The lungs
science|3|What is the chemical symbol for potassium?|K|P;Po;Pt
science|3F|What is the atomic number of carbon?|6|8;12;4
science|3|Which planet has the most extensive ring system?|Saturn|Jupiter;Uranus;Neptune
science|3|Which scientist discovered penicillin in 1928?|Alexander Fleming|Louis Pasteur;Marie Curie;Joseph Lister
science|3|What is the speed of light, to the nearest thousand kilometres per second?|300,000 km/s|150,000 km/s;30,000 km/s;3,000,000 km/s
science|3F|Which element has the chemical symbol Fe?|Iron|Fluorine;Lead;Tin
science|1|What is the largest ocean on Earth?|The Pacific Ocean|The Atlantic Ocean;The Indian Ocean;The Arctic Ocean
science|1|What animal is known as the king of the jungle?|The lion|The tiger;The elephant;The gorilla
science|2|What is a baby kangaroo called?|A joey|A cub;A kid;A pup
science|2|How many teeth does an adult human normally have?|32|28;30;36
science|2F|What is the tallest animal in the world?|The giraffe|The elephant;The ostrich;The camel
science|3|What type of animal is a Komodo dragon?|A lizard|A snake;A crocodile;A turtle
places|1|What is the capital of France?|Paris|Lyon;Marseille;Nice
places|1|What is the capital of Japan?|Tokyo|Osaka;Kyoto;Hiroshima
places|1|On which continent is Egypt?|Africa|Asia;Europe;South America
places|1|What is the longest river in Africa?|The Nile|The Congo;The Niger;The Zambezi
places|1|In which country is the Taj Mahal?|India|Pakistan;Bangladesh;Nepal
places|2|What is the capital of Australia?|Canberra|Sydney;Melbourne;Perth
places|2|What is the capital of Canada?|Ottawa|Toronto;Vancouver;Montreal
places|2F|Which is the largest country in the world by area?|Russia|Canada;China;United States
